IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.145.73,4,4,0.00,54.08,0.00
104.18.95.110,4,4,0.00,54.09,0.00
104.17.102.27,4,4,0.00,54.12,0.00
104.17.98.15,4,4,0.00,54.13,0.00
104.17.30.245,4,4,0.00,54.19,0.00
104.17.223.211,4,4,0.00,54.20,0.00
104.18.84.236,4,4,0.00,54.21,0.00
104.19.45.2,4,4,0.00,54.22,0.00
104.17.60.196,4,4,0.00,54.26,0.00
104.17.58.163,4,4,0.00,54.28,0.00
104.18.160.32,4,4,0.00,54.29,0.00
104.17.54.178,4,4,0.00,54.31,0.00
104.16.194.166,4,4,0.00,54.33,0.00
104.18.169.209,4,4,0.00,54.42,0.00
104.17.122.19,4,4,0.00,54.44,0.00
104.17.161.117,4,4,0.00,54.47,0.00
104.16.153.24,4,4,0.00,54.47,0.00
104.22.33.172,4,4,0.00,54.47,0.00
104.17.183.196,4,4,0.00,54.47,0.00
104.16.244.14,4,4,0.00,54.48,0.00
104.16.198.216,4,4,0.00,54.50,0.00
104.17.171.211,4,4,0.00,54.50,0.00
104.17.214.25,4,4,0.00,54.51,0.00
104.16.156.219,4,4,0.00,54.52,0.00
104.16.203.190,4,4,0.00,54.55,0.00
104.22.42.46,4,4,0.00,54.60,0.00
104.22.43.143,4,4,0.00,54.61,0.00
104.18.87.27,4,4,0.00,54.67,0.00
104.16.148.136,4,4,0.00,54.74,0.00
104.16.251.209,4,4,0.00,54.81,0.00
104.17.198.135,4,4,0.00,54.82,0.00
104.16.152.188,4,4,0.00,54.85,0.00
104.18.93.47,4,4,0.00,54.86,0.00
104.17.170.231,4,4,0.00,54.94,0.00
104.17.154.91,4,4,0.00,54.96,0.00
104.17.159.63,4,4,0.00,54.97,0.00
104.22.41.136,4,4,0.00,54.99,0.00
104.19.37.185,4,4,0.00,55.01,0.00
104.18.88.22,4,4,0.00,55.03,0.00
104.16.255.104,4,4,0.00,55.09,0.00
104.18.94.180,4,4,0.00,55.11,0.00
104.22.39.77,4,4,0.00,55.11,0.00
104.17.156.180,4,4,0.00,55.23,0.00
104.17.175.173,4,4,0.00,55.39,0.00
104.17.116.59,4,4,0.00,55.47,0.00
104.17.211.44,4,4,0.00,55.53,0.00
104.17.125.20,4,4,0.00,55.57,0.00
104.18.85.11,4,4,0.00,55.65,0.00
104.18.174.226,4,4,0.00,55.67,0.00
104.17.208.98,4,4,0.00,55.67,0.00
104.19.35.134,4,4,0.00,55.71,0.00
104.17.20.85,4,4,0.00,55.76,0.00
104.17.147.243,4,4,0.00,55.81,0.00
104.17.101.24,4,4,0.00,55.85,0.00
104.17.56.119,4,4,0.00,55.89,0.00
104.16.158.241,4,4,0.00,55.91,0.00
104.17.216.56,4,4,0.00,55.99,0.00
104.17.18.62,4,4,0.00,56.11,0.00
104.17.103.30,4,4,0.00,56.14,0.00
104.19.42.82,4,4,0.00,56.24,0.00
104.17.173.170,4,4,0.00,56.27,0.00
104.17.180.226,4,4,0.00,56.37,0.00
104.17.213.176,4,4,0.00,56.40,0.00
104.17.124.177,4,4,0.00,56.40,0.00
104.18.144.139,4,4,0.00,56.45,0.00
104.17.25.106,4,4,0.00,56.53,0.00
104.19.36.48,4,4,0.00,56.54,0.00
104.17.120.95,4,4,0.00,56.61,0.00
104.18.91.237,4,4,0.00,56.70,0.00
104.25.249.161,4,4,0.00,56.72,0.00
104.16.205.185,4,4,0.00,56.76,0.00
104.17.169.183,4,4,0.00,56.82,0.00
104.17.177.78,4,4,0.00,56.85,0.00
104.17.16.4,4,4,0.00,56.99,0.00
104.18.83.192,4,4,0.00,57.05,0.00
104.16.192.49,4,4,0.00,57.05,0.00
198.41.209.140,4,4,0.00,57.09,0.00
104.17.112.210,4,4,0.00,57.23,0.00
141.101.115.40,4,4,0.00,57.26,0.00
104.17.165.124,4,4,0.00,57.29,0.00
104.16.159.219,4,4,0.00,57.33,0.00
104.17.148.192,4,4,0.00,57.34,0.00
104.17.209.146,4,4,0.00,57.41,0.00
172.64.153.25,4,4,0.00,57.54,0.00
104.17.127.247,4,4,0.00,57.61,0.00
104.17.61.113,4,4,0.00,57.69,0.00
104.19.149.222,4,4,0.00,57.75,0.00
104.17.194.248,4,4,0.00,57.82,0.00
104.19.33.143,4,4,0.00,57.97,0.00
104.16.197.200,4,4,0.00,58.05,0.00
104.19.48.4,4,4,0.00,58.29,0.00
104.22.44.56,4,4,0.00,58.38,0.00
104.17.113.26,4,4,0.00,58.38,0.00
104.17.130.5,4,4,0.00,58.57,0.00
104.17.121.194,4,4,0.00,58.74,0.00
104.19.38.103,4,4,0.00,58.76,0.00
104.25.250.72,4,4,0.00,58.89,0.00
104.17.110.161,4,4,0.00,59.01,0.00
104.17.181.15,4,4,0.00,59.03,0.00
104.17.191.203,4,4,0.00,59.09,0.00
104.17.104.101,4,4,0.00,59.38,0.00
104.16.206.33,4,4,0.00,59.50,0.00
104.17.29.14,4,4,0.00,59.58,0.00
104.18.145.158,4,4,0.00,59.58,0.00
104.17.200.129,4,4,0.00,61.64,0.00
104.17.184.207,4,4,0.00,61.90,0.00
104.18.75.111,4,4,0.00,76.40,0.00
104.16.0.224,4,4,0.00,76.67,0.00
162.159.209.160,4,4,0.00,76.98,0.00
104.18.73.133,4,4,0.00,79.08,0.00
